X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1STDOB,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0,Cluster,T_ADV,T_HON,T_STUDY,T_ADV_hat,T_HON_hat
4.0,0.0,2.0,1.0,4.0,1.2545,4.0,8.0,0.0,0.0,3.0,199410.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.7835232484314583,0.730020585047501
4.0,8.0,3.0,1.0,4.0,,,,,,,199300.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,1,1,1,0.5783798863009292,0.4731180652059556
1.0,4.0,3.0,0.0,3.5,-0.402,2.0,1.0,0.0,1.0,3.0,199505.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,1,0,0.27985892905471316,0.3778005153910907
5.0,13.0,3.0,0.0,3.5,0.7272,5.0,5.0,0.0,0.0,3.0,199407.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,1,0,0.5946155517546369,0.6031623829360633
1.0,17.0,3.0,0.0,4.0,1.0541,4.0,5.0,0.0,0.0,2.0,199501.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0.6955864290470266,0.616128079180278
2.0,5.0,3.0,0.0,3.0,-1.1856,,,,,,199505.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0.15983649016925885,0.3703077563122196
0.0,0.0,3.0,1.0,2.5,-1.1071,2.0,4.0,0.0,0.0,3.0,199500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.17608027110474442,0.21678827505912465
0.0,12.0,3.0,0.0,4.0,2.1218,4.0,6.0,0.0,0.0,4.0,199410.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,1,0,0.7487576407481106,0.7139631747722338
1.0,4.0,3.0,0.0,3.5,1.3224,2.0,3.0,0.0,0.0,4.0,199509.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0,1,0,0.6949667979400105,0.6317406797822116
1.0,0.0,2.0,1.0,3.0,0.2485,5.0,6.0,0.0,0.0,4.0,199503.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.39072122621767524,0.5179855327678652
5.0,0.0,3.0,0.0,3.0,0.559,2.0,4.0,0.0,0.0,4.0,199412.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0,0,0.39715216615364857,0.4976139672883945
