STU_ID,SCH_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,C1GETAHEAD,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X3TXSATCOMP
31914,-5,3.5,0.0078,4,5,0,0,4,1,3,199504,-5,2.0,2.0,3,1,3.0,3.0,1.9,-5
31915,-5,3.0,-0.389,2,6,0,0,4,1,8,199408,-5,0.0,0.0,1,0,2.5,3.0,3.3,-5
31916,-5,3.0,-8.0,-8,-8,-8,-8,-8,2,-9,199500,-5,1.0,0.0,1,0,3.0,3.0,3.7,-5
31917,-5,2.5,-0.259,2,4,0,0,4,2,8,199509,-5,0.0,2.0,3,0,2.5,2.5,3.0,-5
31918,-5,-8.0,0.013,5,6,0,0,4,2,8,199503,-5,-8.0,-8.0,3,1,-8.0,-8.0,3.2,-5
31919,-5,1.5,0.164,4,10,0,0,4,1,5,199507,-5,0.0,0.0,3,-8,2.0,2.0,2.4,-5
31920,-5,3.0,0.0296,4,2,1,1,4,1,8,199405,-5,2.0,0.0,3,1,2.5,3.5,-7.0,-5
31921,-5,-8.0,1.7467,2,3,0,0,2,1,5,199503,-5,-8.0,-8.0,-8,1,-8.0,-8.0,-8.0,-5
31922,-5,3.5,0.6581,3,2,1,1,3,2,3,199501,-5,2.5,6.0,-6,1,3.0,2.0,-6.0,-5
31923,-5,3.5,-0.2301,1,2,1,1,1,2,5,199503,-5,0.0,0.0,2,1,3.5,3.5,2.9,-5
31924,-5,1.0,-0.2683,2,1,1,1,2,1,8,199507,-5,0.0,0.0,2,-9,1.0,2.5,2.7,-5
31925,-5,2.0,-1.3344,5,5,0,0,4,2,8,199310,-5,1.0,0.0,-6,1,2.0,-1.0,-6.0,-5
31926,-5,3.5,1.0762,4,6,0,0,2,2,8,199409,-5,5.0,8.0,3,1,3.5,4.0,3.2,-5
31927,-5,3.5,0.5913,2,10,0,0,2,1,8,199501,-5,2.0,2.0,-6,1,3.0,3.0,-6.0,-5
31928,-5,2.5,-0.0836,2,4,0,0,3,1,6,199502,-5,0.0,0.0,-6,-9,2.0,2.0,-6.0,-5
31929,-5,3.5,0.8542,2,4,0,0,2,2,5,199511,-5,0.0,0.5,3,0,3.5,3.5,3.4,-5
31930,-5,3.5,-0.0565,4,3,0,0,4,2,8,199503,-5,1.0,0.0,2,0,3.5,4.0,3.1,-5
31931,-5,3.5,-1.8613,-8,-8,-8,-8,-8,1,5,199307,-5,0.0,0.0,-8,0,4.0,-1.0,-8.0,-5
31932,-5,2.0,-0.1236,7,3,0,0,4,1,3,199504,-5,0.0,0.0,2,-9,2.0,2.5,3.3,-5
31933,-5,2.5,0.478,1,1,1,1,3,1,5,199410,-5,17.0,0.0,3,0,2.5,3.0,3.4,-5
31934,-5,2.5,-1.2781,4,4,0,0,2,2,5,199509,-5,0.0,0.0,3,0,3.0,3.0,3.7,-5
31935,-5,3.0,1.4773,5,8,0,0,2,1,8,199604,-5,4.0,3.5,3,1,3.5,3.5,3.4,-5
31936,-5,4.0,0.3469,4,7,0,0,4,2,3,199507,-5,3.0,5.0,2,1,3.5,4.0,3.3,-5
31939,-5,3.5,1.2636,5,8,0,0,3,2,6,199501,-5,6.0,2.0,3,0,3.0,3.0,3.1,-5
31940,-5,2.0,-0.3784,4,5,0,0,4,1,3,199405,-5,1.0,0.0,-6,0,1.5,2.5,-6.0,-5
31941,-5,1.5,-0.1038,-8,-8,-8,-8,-8,1,8,199504,-5,0.0,0.0,3,0,2.0,2.0,0.2,-5
31942,-5,2.0,-8.0,-8,-8,-8,-8,-8,1,-9,199400,-5,0.0,3.0,-8,0,2.0,2.5,-8.0,-5
31943,-5,2.5,-1.7148,-8,-8,-8,-8,-8,1,3,199406,-5,0.0,0.0,-6,-8,2.5,3.5,-6.0,-5
31944,-5,1.5,-8.0,-8,-8,-8,-8,-8,1,-9,-9,-5,1.0,0.0,3,0,2.0,2.0,2.7,-5
31945,-5,4.0,1.157,3,1,1,1,4,1,5,199409,-5,9.0,6.0,3,1,3.0,2.5,3.2,-5
31946,-5,2.0,0.0615,4,3,0,0,2,1,2,199506,-5,7.5,7.0,-8,1,1.5,1.0,-8.0,-5
31947,-5,-1.0,-0.5266,1,2,0,1,3,2,5,199401,-5,1.0,0.0,-6,0,2.5,-1.0,-6.0,-5
31948,-5,2.0,-0.9116,7,6,0,0,4,1,8,199506,-5,0.0,0.0,2,0,2.0,-1.0,2.0,-5
31949,-5,-8.0,1.5828,2,1,1,1,4,1,8,199503,-5,-8.0,-8.0,2,0,-8.0,-8.0,3.7,-5
31950,-5,3.0,0.0438,4,10,0,0,4,1,8,199505,-5,8.5,0.0,3,1,3.0,2.5,2.4,-5
31951,-5,4.0,1.8424,4,2,1,1,4,2,3,199506,-5,7.0,0.0,3,1,4.0,4.0,3.8,-5
31953,-5,0.5,-0.5148,2,3,0,1,3,2,8,199501,-5,2.0,0.0,-6,0,1.0,-1.0,-6.0,-5
31954,-5,1.5,-0.4109,-8,-8,-8,-8,-8,2,5,199403,-5,0.0,0.0,-6,0,1.0,-1.0,-6.0,-5
31955,-5,4.0,1.5307,4,5,0,0,3,2,8,199503,-5,2.0,0.0,2,-8,4.0,4.0,4.0,-5
31956,-5,4.0,1.4399,3,2,0,1,3,2,6,199411,-5,2.0,0.0,3,1,3.0,2.5,1.6,-5
31957,-5,3.0,0.233,5,5,0,0,3,1,8,199501,-5,10.0,0.0,2,1,3.0,3.5,2.1,-5
31958,-5,3.0,-0.5877,4,7,0,0,1,1,5,199411,-5,1.0,12.0,3,1,3.0,3.5,2.7,-5
31959,-5,-8.0,-0.0628,5,3,0,0,4,1,3,199507,-5,-8.0,-8.0,-6,0,-8.0,-8.0,-6.0,-5
31960,-5,2.0,-8.0,3,4,0,0,4,2,8,199500,-5,0.0,1.0,-6,1,2.0,3.0,-6.0,-5
31961,-5,2.5,-0.3682,3,3,0,0,2,2,8,199407,-5,0.0,0.0,3,0,2.5,2.5,2.8,-5
31962,-5,2.5,-0.2546,5,7,0,0,2,1,8,199503,-5,0.0,2.0,3,1,2.5,3.0,2.1,-5
31963,-5,2.0,0.1811,3,3,0,0,4,1,5,199508,-5,0.0,0.0,2,1,1.5,2.0,1.1,-5
31964,-5,2.5,-1.2633,4,7,0,0,2,1,8,199506,-5,0.0,0.0,3,1,2.5,3.0,1.2,-5
