STU_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X1PAREDU_label,X1SEX_label,X1RACE_label,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0
34636,3.5,0.8446,4.0,6.0,0.0,0.0,4.0,2.0,8.0,199501.0,2.0,6.0,3.0,0.0,3.5,4.0,3.5,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34637,3.5,-0.5902,4.0,3.0,0.0,0.0,4.0,2.0,8.0,199506.0,0.0,3.0,3.0,0.0,3.5,3.5,3.3,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34638,4.0,0.1845,4.0,5.0,0.0,0.0,4.0,2.0,8.0,199412.0,8.0,4.0,2.0,1.0,3.0,2.5,2.9,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34639,,0.7111,2.0,2.0,0.0,0.0,2.0,2.0,5.0,199409.0,,,3.0,1.0,,,3.4,HS diploma,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34640,3.0,0.592,2.0,2.0,0.0,0.0,4.0,2.0,8.0,199510.0,1.0,8.0,3.0,0.0,3.0,3.5,4.0,HS diploma,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34641,4.0,-0.0109,4.0,8.0,0.0,0.0,4.0,2.0,8.0,199501.0,1.0,2.0,,,3.5,4.0,,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34642,,-0.4887,,,,,,2.0,8.0,199501.0,,,,0.0,,,,,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34643,3.0,-0.8603,2.0,2.0,0.0,1.0,2.0,1.0,3.0,199412.0,6.0,0.0,,0.0,2.5,3.0,,HS diploma,Male,Black,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34644,4.0,1.7889,4.0,5.0,0.0,0.0,2.0,2.0,2.0,199509.0,10.5,4.0,3.0,1.0,3.5,3.5,3.8,Some college/Associate,Female,Asian,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34645,0.5,-0.5761,,,,,,1.0,8.0,199210.0,0.0,0.0,,0.0,0.5,,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34646,3.0,,,,,,,1.0,2.0,199500.0,4.0,0.0,,1.0,2.0,2.0,,,Male,Asian,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34647,3.0,,,,,,,2.0,,199400.0,0.0,1.0,,0.0,2.0,2.0,,,Female,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34648,3.0,-0.0348,2.0,4.0,0.0,0.0,4.0,2.0,2.0,199506.0,1.0,0.0,3.0,0.0,3.0,3.5,3.0,HS diploma,Female,Asian,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34649,3.5,,,,,,,2.0,,199400.0,9.0,4.0,3.0,1.0,3.0,3.0,3.0,,Female,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34650,3.5,0.0079,3.0,2.0,1.0,1.0,2.0,1.0,8.0,199411.0,5.5,2.0,,0.0,3.5,3.5,,Certificate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34651,3.5,,4.0,13.0,0.0,0.0,4.0,1.0,8.0,199500.0,2.0,1.0,3.0,1.0,3.0,3.0,2.6,Some college/Associate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34652,3.0,,,,,,,2.0,,199500.0,1.0,2.0,3.0,1.0,3.5,4.0,3.4,,Female,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34653,1.0,-1.1413,1.0,2.0,0.0,0.0,2.0,2.0,3.0,199501.0,0.0,0.0,,0.0,2.0,2.0,,Less than HS,Female,Black,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34654,2.0,-0.5587,5.0,3.0,0.0,0.0,3.0,2.0,6.0,199407.0,1.0,1.0,3.0,0.0,2.5,,0.0,Bachelor,Female,Multiracial,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34655,3.5,-0.134,3.0,3.0,0.0,0.0,2.0,1.0,3.0,199508.0,6.0,12.0,3.0,1.0,3.0,3.0,1.5,Certificate,Male,Black,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34656,1.0,,1.0,2.0,0.0,1.0,3.0,2.0,8.0,199300.0,0.0,0.0,,,0.5,,,Less than HS,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34657,,1.3752,5.0,4.0,0.0,0.0,4.0,2.0,8.0,199501.0,,,3.0,1.0,,,3.8,Bachelor,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34658,2.5,0.2509,1.0,2.0,0.0,0.0,4.0,1.0,5.0,199508.0,0.0,8.0,3.0,1.0,2.5,3.0,1.3,Less than HS,Male,Hispanic (race specified),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
